SN,MPLS/Switch,Full SOLAR POP,Down Time,Up Time,Type,Region,Reason/Issue,Date,Duration,Remarks(from mail if any),Category,,Province
11,Link down mjitpur-sw1 || mmurgiya-sw1-mjitpur-sw1 --optical,,7/3/2025 19:11:00,,Optical Power,********,Optical Power,19th Aasar,"31 days, 21 hrs, 33 min",Currently we do not have stock 10G 1270/1330 60Km SFP in PMD. Thank you.,Fiber,,
12,mdamak - mletang [10G]- Optical,,7/8/2025 15:49:00,,Optical Power,********,Road Expansion,24th Aasar,"27 days, 00 hrs, 55 min","As per Bijay ji, Team could not do the needful due to rainfall Team will look into the issue tomorrow ",Fiber,,
13,mdhangadi-dls-sw1 - mbuditola-sw1,,7/11/2025 5:10:00,,Link Down,********,POE device Damage,27th Aasar,"24 days, 11 hrs, 34 min",Frequently damage mimosa device at buditola pop so unable to change raining season 1/2 month.,Device,,
14,Itahari-Duhabi-R1 path ( Subisu Path),,7/11/2025 14:33:23,,Link Down,********,Fiber Breakage,27th Aasar,"24 days, 02 hrs, 11 min","As per Om ji, Team is busy at Biratnagar Team will  look into the issue after 5 days ",Fiber,,
1,mjumlabazaar-sw1,TRUE,7/17/2025 0:16:41,7/17/2025 7:48:53,Switch,Far Western Region,Unknown,1st Shrawan,"0 days, 07 hrs, 32 min",,Unknown,0.3140277778,Prov6
2,mkalikot-sw1,FALSE,7/17/2025 0:59:28,7/17/2025 5:34:00,Switch,Far Western Region,Rebooted,1st Shrawan,"0 days, 04 hrs, 34 min",,Power,0.1906481481,Prov7
3,mtalchikhel - mmanbhawan-dls-sw1 [10G],,7/17/2025 3:05:00,7/17/2025 13:07:00,Link Down,********,Fiber Issue,1st Shrawan,"0 days, 10 hrs, 02 min",Morning duty team already assigned with massive breakages . We will update once team gets free . ,Fiber,0.4180555556,**********
4,mbattisputali - mairport-domestic-sw1,,7/17/2025 3:45:00,7/21/2025 4:47:00,Link Down,********,Fiber Breakage,1st Shrawan,"4 days, 01 hrs, 02 min",  We will test the link tonight and will update accordingly.,Fiber,4.043055556,**********
5,madarshanagar - mkalaiya [10G],,7/17/2025 2:35:43,7/23/2025 19:07:00,Link Down,********,Optical Power,1st Shrawan,"6 days, 16 hrs, 31 min",As per abhimanyu ji Team willl lokk into this task tomorrow as they were busy in other tasks today,Fiber,6.688391204,**********
6,mparasi-sw1,FALSE,7/17/2025 5:17:57,7/17/2025 5:23:13,Switch,Western Region,Routed,1st Shrawan,"0 days, 00 hrs, 05 min",,Fiber,0.003657407411,Prov5
7,mdhakdhai-sw1 - mparasi-sw1,,7/17/2025 5:17:57,7/18/2025 4:36:00,Link Down,********,Fiber Issue,1st Shrawan,"0 days, 23 hrs, 18 min",link is up and optical is fine. We will test the link at night and will update .,Fiber,0.9708680556,**********
8,mdhusel-sw1,FALSE,7/17/2025 5:36:26,7/17/2025 7:45:52,Switch,Makawanpur NTA,Rebooted,1st Shrawan,"0 days, 02 hrs, 09 min",,Power,0.08988425926,Prov3
9,mfaparbari-sw1,FALSE,7/17/2025 6:15:00,7/17/2025 8:17:11,Switch,Central Region,Rebooted,1st Shrawan,"0 days, 02 hrs, 02 min",,Power,0.08484953704,Prov3
10,mdaphelake-sw1,TRUE,7/16/2025 18:37:52,7/17/2025 8:30:51,Switch,Far Western Region,Full Solar POP,1st Shrawan,"0 days, 13 hrs, 52 min",,Power,0.5784606481,Prov6
11,mkakanidanda-sw1,TRUE,7/17/2025 6:31:42,7/17/2025 10:32:38,Switch,Central Region,Rebooted,1st Shrawan,"0 days, 04 hrs, 00 min",,Power,0.1673148148,Prov3
12,mjamune-sw1,FALSE,7/17/2025 6:36:26,7/17/2025 7:48:36,Switch,Highway PoP,Rebooted,1st Shrawan,"0 days, 01 hrs, 12 min",,Power,0.05011574074,Prov4
13,msundarbazaar-iaas-sw1,FALSE,7/17/2025 7:25:57,7/17/2025 11:58:07,Switch,Highway PoP,Unknown,1st Shrawan,"0 days, 04 hrs, 32 min",,Unknown,0.1890046296,Prov4
14,mpokhara-satmane-sw1,FALSE,7/17/2025 9:08:00,7/17/2025 9:40:21,Switch,Western Region,Rebooted,1st Shrawan,"0 days, 00 hrs, 32 min",,Power,0.02246527778,Prov4
15,mnamjung-sw1,TRUE,7/17/2025 10:08:00,7/17/2025 22:53:00,Losses/Latency,Gorkha,Losses,1st Shrawan,"0 days, 12 hrs, 45 min",,Fiber,0.53125,Prov4
16,mjamune-sw1,FALSE,7/17/2025 10:08:36,7/17/2025 10:15:11,Switch,Highway PoP,Rebooted,1st Shrawan,"0 days, 00 hrs, 06 min",,Power,0.004571759266,Prov4
17,mdhalkebar-mbal[100G],,7/17/2025 10:44:00,7/17/2025 11:17:00,Link Flap,********,Unknown,1st Shrawan,"0 days, 00 hrs, 33 min","As per WSN team, link is fine now.",Unknown,0.02291666666,**********
18,mbeltar-dls-sw1,FALSE,7/17/2025 11:07:00,7/17/2025 11:10:00,Switch,Eastern Region,Rebooted,1st Shrawan,"0 days, 00 hrs, 03 min",,Power,0.00208333334,Prov1
19,mchapur-te-0-0-0-9:To-msukhadev-te-0-0-0-23,,7/17/2025 10:50:45,7/17/2025 16:00:00,Traffic Congestion,********,Congestion,1st Shrawan,"0 days, 05 hrs, 09 min",,Traffic Issue,0.2147569444,**********
20,mbarabise-dls-sw1,FALSE,7/17/2025 12:22:00,7/17/2025 12:23:49,Switch,Central Region,Rebooted,1st Shrawan,"0 days, 00 hrs, 01 min",,Power,0.001261574078,Prov3
21,mbardibas-mbirgunj-nea[200G],,7/17/2025 12:53:00,7/17/2025 12:54:00,Link Flap,********,Unknown,1st Shrawan,"0 days, 00 hrs, 01 min",,Unknown,0.0006944444394,**********
22,mdumkibas - mbardaghat,,7/17/2025 12:37:00,7/18/2025 12:36:00,Link Down,********,Fiber Breakage,1st Shrawan,"0 days, 23 hrs, 59 min","As per Dinesh Jee, team has been just forwarded to look into the matter.",Fiber,0.9993055556,**********
23,mkaushaltar - mimadol,,7/17/2025 12:21:49,7/18/2025 13:36:00,Link Down,********,Fiber Breakage,1st Shrawan,"1 days, 01 hrs, 14 min",Informed to Suryabinayak Team and Matter will be checked after completing the task of  3C-CAFETERIA_MADHYAPUR-THIMI-HOSPITAL_HO_INTRANET_PL_F.,Fiber,1.051516204,**********
24,mbhimad-sw1,FALSE,7/17/2025 12:17:00,7/18/2025 16:56:23,Switch,Western Region,Pole shifting,1st Shrawan,"1 days, 04 hrs, 39 min","As per yugal sir, due to pole shifting going in the area, link was down, team are working into the issue, ETR is not mentioned.",Fiber,1.194016204,Prov4
25,mhetauda-mbirgunj-nea[100G],,7/17/2025 13:28:00,7/17/2025 13:29:00,Link Flap,********,Unknown,1st Shrawan,"0 days, 00 hrs, 01 min",,Unknown,0.0006944444394,**********
26,mdhalkebar-mbal[100G],,7/17/2025 14:27:37,7/17/2025 14:29:00,Link Flap,********,Unknown,1st Shrawan,"0 days, 00 hrs, 01 min",,Unknown,0.0009606481472,**********
27,mbardibas-mbirgunj-nea[200G,,7/17/2025 14:19:07,7/17/2025 14:20:00,Link Flap,********,Unknown,1st Shrawan,"0 days, 00 hrs, 00 min",,Unknown,0.0006134259238,**********
28,mdhalkebar-mbal[100G],,7/17/2025 14:56:18,7/17/2025 14:57:00,Link Flap,********,Unknown,1st Shrawan,"0 days, 00 hrs, 00 min",,Unknown,0.0004861111083,**********
29,msurkhet-sw3 <-> mneware-dls-sw1 [10G] - PL-Via-Highway,,7/17/2025 15:05:29,7/17/2025 16:37:52,Link Down,********,Unknown,1st Shrawan,"0 days, 01 hrs, 32 min",,Unknown,0.06415509259,**********
30,mbardibas-mbirgunj-nea[200G],,7/17/2025 16:52:00,7/17/2025 19:00:00,Link Flap,********,Link Flap,1st Shrawan,"0 days, 02 hrs, 08 min",,Link Issue,0.08888888889,**********
31,mfaparbari-sw1,FALSE,7/17/2025 17:07:15,7/17/2025 18:19:25,Switch,Central Region,Unknown,1st Shrawan,"0 days, 01 hrs, 12 min",,Unknown,0.05011574074,Prov3
32,mpokhara-satmane-sw1,FALSE,7/17/2025 17:02:58,7/17/2025 17:25:09,Switch,Western Region,Unknown,1st Shrawan,"0 days, 00 hrs, 22 min",,Unknown,0.0154050926,Prov4
33,mdaphelake-sw1,TRUE,7/17/2025 17:40:51,7/18/2025 6:19:57,Switch,Far Western Region,Full Solar POP,1st Shrawan,"0 days, 12 hrs, 39 min",,Power,0.5271527778,**********
34,mtulsipur,FALSE,7/17/2025 18:34:00,7/17/2025 21:02:29,MPLS,Far Western Region,Unknown,1st Shrawan,"0 days, 02 hrs, 28 min",,Unknown,0.1031134259,Prov5
35,mgongabu-counter-sw1,,7/17/2025 19:29:29,7/17/2025 20:31:39,Switch,********,Rebooted,1st Shrawan,"0 days, 01 hrs, 02 min",,Power,0.0431712963,Prov3
36,mmurgiya-sw1,FALSE,7/17/2025 19:30:10,7/17/2025 21:50:00,Switch,Western Region,CT Line Issue,1st Shrawan,"0 days, 02 hrs, 19 min",Unable to manage generator there. NEA personnel will look into issue tomorrow morning at 7/8 AM as there is ct line issue from NEA side. Host will be up once the ct line get managed by NEA personnel.,Power,0.09710648148,Prov5
37,mjeetpur-sw1,FALSE,7/17/2025 19:40:48,7/17/2025 19:47:24,Switch,Western Region,Unknown,1st Shrawan,"0 days, 00 hrs, 06 min",,Unknown,0.004583333335,Prov2
38,msirdibas-sw1,TRUE,7/17/2025 18:37:10,7/18/2025 7:29:25,Switch,Gorkha NTA,Full Solar POP,1st Shrawan,"0 days, 12 hrs, 52 min",,Power,0.5362847222,**********
39,mnaamdanda-sw1,TRUE,7/17/2025 21:17:23,7/18/2025 7:32:22,Switch,Central Region,Rebooted,1st Shrawan,"0 days, 10 hrs, 14 min",,Power,0.4270717593,Prov3
40,mnaudanda,FALSE,7/17/2025 22:10:44,7/17/2025 22:58:00,MPLS,********,Rebooted,1st Shrawan,"0 days, 00 hrs, 47 min",,Power,0.03282407407,Prov4
41,mjamune-sw1,FALSE,7/17/2025 22:03:58,7/17/2025 22:36:08,Switch,Highway PoP,Rebooted,1st Shrawan,"0 days, 00 hrs, 32 min",,Power,0.02233796296,Prov4
42,mpokhara-satmane-sw1,FALSE,7/17/2025 22:05:09,7/17/2025 22:57:20,Switch,Western Region,Rebooted,1st Shrawan,"0 days, 00 hrs, 52 min",,Power,0.03623842593,Prov4
43,mmidmarsyangdi-dam-sw1,FALSE,7/17/2025 22:11:28,7/18/2025 3:12:30,Switch,Highway PoP,Rebooted,1st Shrawan,"0 days, 05 hrs, 01 min",,Power,0.2090509259,Prov4
44,mhetauda-warehouse-sw1,FALSE,7/17/2025 22:03:44,7/17/2025 22:29:19,Switch,Central Region,Rebooted,1st Shrawan,"0 days, 00 hrs, 25 min",,Power,0.0177662037,Prov3
45,mrindanda-sw1,FALSE,7/17/2025 21:46:23,7/18/2025 7:33:37,Switch,Central Region,MCB Trip,1st Shrawan,"0 days, 09 hrs, 47 min",,Power,0.4078009259,Prov3
46,mpathichaur-sw1,FALSE,7/17/2025 22:04:07,7/17/2025 22:56:18,Switch,Western Region,Unknown,1st Shrawan,"0 days, 00 hrs, 52 min",,Unknown,0.03623842593,Prov4
47,mjujeneta-sw1,FALSE,7/17/2025 22:02:36,7/17/2025 22:54:46,Switch,Western Region,Rebooted,1st Shrawan,"0 days, 00 hrs, 52 min",,Power,0.03622685185,Prov5
48,mmurgiya-sw1,FALSE,7/17/2025 22:23:00,7/17/2025 22:45:00,Switch,Western Region,Rebooted,1st Shrawan,"0 days, 00 hrs, 22 min",,Power,0.01527777778,Prov5
49,mranjha-sw1,FALSE,7/17/2025 23:09:00,7/17/2025 23:22:00,Switch,Far Western Region,Rebooted,1st Shrawan,"0 days, 00 hrs, 13 min",,Power,0.009027777778,Prov5
50,mchitredanda-lamjung-sw1,,7/17/2025 22:21:00,7/18/2025 7:52:16,Switch,********,Rebooted,1st Shrawan,"0 days, 09 hrs, 31 min",,Power,0.396712963,Prov5
51,mpatan-baitadi-sw1,,7/17/2025 23:40:45,7/18/2025 5:57:00,Switch,********,Rebooted,1st Shrawan,"0 days, 06 hrs, 16 min",,Power,0.2612847222,Prov7
1,mkataridanda-sw1,FALSE,7/18/2025 0:47:46,7/18/2025 6:16:54,Switch,Eastern Region,Rebooted,2nd Shrawan,"0 days, 05 hrs, 29 min",,Power,0.2285648148,Prov1
2,mjujeneta-sw1,FALSE,7/18/2025 2:16:00,7/18/2025 2:18:00,Switch,Western Region,Rebooted,2nd Shrawan,"0 days, 00 hrs, 02 min",,Power,0.001388888886,Prov5
3,mdoti-sw1,FALSE,7/18/2025 3:46:00,7/18/2025 3:48:00,Switch,Far Western Region,Rebooted,2nd Shrawan,"0 days, 00 hrs, 02 min",,Power,0.001388888886,Prov7
4,mhatiya-sw1 - mbhanu-umv-sw1,,7/18/2025 4:22:00,,Link Down,********,Device Issue,2nd Shrawan,"17 days, 12 hrs, 23 min",Due to shortage waveip device so unable to change raining season 2/3month.,Device,17.51637735,**********
5,mdiktel-mhaleshi-sw1,,7/18/2025 5:03:00,7/18/2025 15:57:00,Link Down,********,Device Replacement,2nd Shrawan,"0 days, 10 hrs, 54 min",Diwakar ji has reached Haleshi POP and is working for replacing the device and UPS.,Maintainance,0.4541666667,**********
6,msimrangadh - msukhadev [40G],,7/18/2025 4:58:00,7/18/2025 18:26:00,Link Down,********,Fiber Issue,2nd Shrawan,"0 days, 13 hrs, 28 min","As per Ram yadav ji ,they are Re-Splicing Enclosures in between Bankul and Simrangadh .Link will be maintained till Evening.",Fiber,0.5611111111,**********
7,mkalikot-sw1,FALSE,7/18/2025 5:06:23,7/18/2025 8:31:58,Switch,Far Western Region,Rebooted,2nd Shrawan,"0 days, 03 hrs, 25 min",,Power,0.1427662037,Prov7
8,msanoshree-sw1,FALSE,7/18/2025 5:23:58,7/18/2025 8:29:37,Switch,Far Western Region,Unknown,2nd Shrawan,"0 days, 03 hrs, 05 min",,Unknown,0.1289236111,Prov5
9,mnayasaghu-sw1,,7/18/2025 6:16:08,7/18/2025 6:31:16,Switch,********,Unknown,2nd Shrawan,"0 days, 00 hrs, 15 min",,Unknown,0.01050925926,Prov4
10,mcharikot,FALSE,7/18/2025 6:25:48,7/18/2025 6:37:53,MPLS,Central Region,Rebooted,2nd Shrawan,"0 days, 00 hrs, 12 min",,Power,0.008391203708,Prov3
11,mdhalkebar-mbal[100G],,7/18/2025 6:30:00,7/18/2025 6:41:41,Link Down,********,Patch cord issue,2nd Shrawan,"0 days, 00 hrs, 11 min",,Fiber,0.008113425924,**********
12,msidhuwa-sw1,FALSE,7/18/2025 6:43:17,7/18/2025 9:50:11,Switch,Eastern Region,Rebooted,2nd Shrawan,"0 days, 03 hrs, 06 min",,Power,0.1297916667,Prov1
13,mjhiljhile,FALSE,7/18/2025 7:34:13,7/18/2025 7:38:46,MPLS,Eastern Region,CT Line Issue/Backup Drained,2nd Shrawan,"0 days, 00 hrs, 04 min",,Power,0.003159722219,Prov1
14,mhille <-> mbhojpur,,7/18/2025 7:41:03,7/18/2025 8:56:25,Link Down,********,Unknown,2nd Shrawan,"0 days, 01 hrs, 15 min",,Unknown,0.05233796297,**********
15,msidhuwa-sw1,FALSE,7/18/2025 10:03:00,7/18/2025 10:52:21,Switch,Eastern Region,Rebooted,2nd Shrawan,"0 days, 00 hrs, 49 min",Niraj ji is heading towards POP to verify the issue. We will update further accordingly.,Power,0.03427083333,Prov1
16,mbaglung-sw1,FALSE,7/18/2025 10:05:30,7/18/2025 10:15:00,Switch,Western Region,Rebooted,2nd Shrawan,"0 days, 00 hrs, 09 min",,Power,0.006597222222,Prov4
17,mpokhara-satmane-sw1,FALSE,7/18/2025 10:17:22,7/18/2025 10:59:32,Switch,Western Region,Rebooted,2nd Shrawan,"0 days, 00 hrs, 42 min",,Power,0.02928240741,Prov4
18,mbaglung-sw1,FALSE,7/18/2025 10:52:56,7/18/2025 10:58:46,Switch,Western Region,Rebooted,2nd Shrawan,"0 days, 00 hrs, 05 min",,Power,0.004050925927,Prov4
19,mjujeneta-sw1,FALSE,7/18/2025 11:34:47,7/18/2025 11:44:01,Switch,Western Region,Rebooted,2nd Shrawan,"0 days, 00 hrs, 09 min",,Power,0.006412037037,Prov5
20,mharkatedanda-sw1,FALSE,7/18/2025 12:18:07,7/18/2025 12:43:42,Switch,Eastern Region,Unknown,2nd Shrawan,"0 days, 00 hrs, 25 min",,Unknown,0.0177662037,Prov1
21,mchisapaninmc-sw1,FALSE,7/18/2025 10:43:27,7/18/2025 13:55:37,Switch,Far Western Region,Rebooted,2nd Shrawan,"0 days, 03 hrs, 12 min",,Power,0.1334490741,Prov5
22,mjujeneta-sw1,FALSE,7/18/2025 13:14:01,7/18/2025 13:56:12,Switch,Western Region,Rebooted,2nd Shrawan,"0 days, 00 hrs, 42 min",,Power,0.02929398148,Prov5
23,mkhawadanda-sw1,FALSE,7/18/2025 13:53:19,7/18/2025 17:08:18,Switch,Central Region,Rebooted,2nd Shrawan,"0 days, 03 hrs, 14 min",,Power,0.1354050926,Prov3
25,mbal - mchabahil [100G],,7/18/2025 14:38:05,7/18/2025 16:33:00,Link Flap,********,Link Flap,2nd Shrawan,"0 days, 01 hrs, 54 min",Team is working on this segment ,Link Issue,0.07980324074,**********
26,mdaphelake-sw1,TRUE,7/18/2025 14:35:59,7/18/2025 15:02:14,Switch,Far Western Region,Rebooted,2nd Shrawan,"0 days, 00 hrs, 26 min",,Power,0.01822916666,Prov6
27,mpalpa,FALSE,7/18/2025 14:52:59,7/18/2025 15:03:43,MPLS,Western Region,Rebooted,2nd Shrawan,"0 days, 00 hrs, 10 min",,Power,0.0074537037,Prov5
28,Optical Issue || bal - marsyangdi [olp- R1 and R2,,7/18/2025 15:28:00,,Optical Power,********,Optical Power,2nd Shrawan,"17 days, 01 hrs, 17 min",Any confirmation regarding installation of Booster at Switchatar as mention in chain mail .,Fiber,17.05387735,**********
29,mkalikatar-sw1,TRUE,7/18/2025 15:34:00,7/20/2025 17:16:42,Switch,Makawanpur NTA,Repalced Ethernet cable,2nd Shrawan,"2 days, 01 hrs, 42 min",,Fiber,2.071319444,Prov3
30,mhille <-> mdhankuta [10G],,7/18/2025 16:10:00,7/18/2025 19:01:11,Link Down,********,Unknown,2nd Shrawan,"0 days, 02 hrs, 51 min",,Unknown,0.1188773148,**********
31,mranibari-dls-sw1 <-> mlazimpat-elite-sw1,,7/18/2025 16:10:00,7/18/2025 16:17:00,Optical Power,********,Unknown,2nd Shrawan,"0 days, 00 hrs, 07 min",Team is busy with another task Team will look into the issue tomorrow,Unknown,0.004861111112,**********
32,msurkhet-sw3 <-> mneware-dls-sw1 via-Ghantaghar,,7/18/2025 16:18:32,7/18/2025 17:03:32,Link Down,********,Fiber Breakage,2nd Shrawan,"0 days, 00 hrs, 45 min",,Fiber,0.03125,**********
33,mbherifm-sw1,FALSE,7/18/2025 16:18:53,7/18/2025 17:11:04,Switch,Far Western Region,Fiber Breakage,2nd Shrawan,"0 days, 00 hrs, 52 min",,Fiber,0.03623842593,Prov6
34,mbal <-> mdatahub [10G] - Kalopool-Route [100G],,7/18/2025 16:43:53,7/18/2025 17:00:00,Link Flap,********,Link Flap,2nd Shrawan,"0 days, 00 hrs, 16 min",,Link Issue,0.01119212963,**********
35,mhetauda-warehouse-sw1,FALSE,7/18/2025 17:14:59,7/18/2025 17:30:35,Switch,Central Region,Rebooted,2nd Shrawan,"0 days, 00 hrs, 15 min",,Power,0.01083333333,Prov3
36,mtalchikhel - mpulchowk,,7/18/2025 17:39:00,7/18/2025 18:00:00,Link Flap,********,Link Flap,2nd Shrawan,"0 days, 00 hrs, 21 min",,Link Issue,0.01458333333,**********
37,mdhalkebar <-> mjanakpur [100G],,7/18/2025 17:47:56,7/18/2025 20:22:57,Link Down,********,Fiber Breakage,2nd Shrawan,"0 days, 02 hrs, 35 min","As per Laxmi ji, Link is down due to fiber breaka Bateshwore Team is working for the same. ETR: 1 hours",Fiber,0.107650463,**********
38,mjanakpur <-> mdhalkebar [20G],,7/18/2025 17:47:56,7/18/2025 20:22:57,Link Down,********,Fiber Breakage,2nd Shrawan,"0 days, 02 hrs, 35 min","As per Laxmi ji, Link is down due to fiber breaka Bateshwore Team is working for the same. ETR: 1 hours",Fiber,0.107650463,**********
39,mjaleshwore-te-0-0-0-3:To-mbardibas-te-0-0-0-0-LAG-BE4,,7/18/2025 17:49:54,7/18/2025 18:30:00,Traffic Congestion,********,Congestion,2nd Shrawan,"0 days, 00 hrs, 40 min",,Traffic Issue,0.02784722223,**********
40,mjujeneta-sw1,FALSE,7/18/2025 18:12:47,7/18/2025 19:08:55,Switch,Western Region,Rebooted,2nd Shrawan,"0 days, 00 hrs, 56 min",,Power,0.03898148148,Prov5
41,msurkhet-sw3 <-> mneware-dls-sw1 via-Ghantaghar,,7/18/2025 18:30:22,7/18/2025 19:24:32,Link Down,********,Fiber Breakage,2nd Shrawan,"0 days, 00 hrs, 54 min",,Fiber,0.03761574074,**********
42,mbherifm-sw1,FALSE,7/18/2025 18:31:04,7/18/2025 18:31:04,Switch,Far Western Region,Switch Decommissioned,2nd Shrawan,"0 days, 00 hrs, 00 min",,Device,0,Prov6
43,msirdibas-sw1,TRUE,7/18/2025 18:39:25,7/19/2025 8:01:42,Switch,Gorkha NTA,Full Solar POP,2nd Shrawan,"0 days, 13 hrs, 22 min",,Power,0.5571412037,**********
44,mdaphelake-sw1,TRUE,7/18/2025 18:54:48,7/19/2025 6:06:05,Switch,Far Western Region,Full Solar POP,2nd Shrawan,"0 days, 11 hrs, 11 min",,Power,0.4661689815,**********
45,msukhadev - msimrangadh [10G],,7/18/2025 18:26:00,7/20/2025 12:06:00,Optical Power,********,Optical Power,2nd Shrawan,"1 days, 17 hrs, 40 min",Informed to Ramnarayan ji team will do the needful tomorrow,Fiber,1.736111111,**********
46,mkakanidanda-sw1,TRUE,7/18/2025 18:26:00,7/19/2025 10:14:08,Losses/Latency,Central Region,Maintainance,2nd Shrawan,"0 days, 15 hrs, 48 min",,Maintainance,0.6584259259,Prov3
47,mpokhara-satmane-sw1,FALSE,7/18/2025 19:16:08,7/18/2025 19:38:18,Switch,Western Region,Unknown,2nd Shrawan,"0 days, 00 hrs, 22 min",,Unknown,0.01539351852,Prov4
48,msindhulibazaar-sw1,FALSE,7/18/2025 19:17:55,7/18/2025 19:48:55,Switch,Central Region,Routed,2nd Shrawan,"0 days, 00 hrs, 31 min",,Fiber,0.02152777778,Prov3
49,mkhalanga-dls-sw1,FALSE,7/18/2025 19:39:55,7/18/2025 21:03:28,Switch,Far Western Region,Rebooted,2nd Shrawan,"0 days, 01 hrs, 23 min",,Power,0.05802083333,Prov6
50,mmahendranagar-jnk-sw1,FALSE,7/18/2025 19:17:55,7/18/2025 19:50:06,Switch,Central Region,Routed,2nd Shrawan,"0 days, 00 hrs, 32 min",,Fiber,0.02234953704,Prov2
51,mdhalkebar-dls-sw1-mmahendranagar-jnk-sw1,,7/18/2025 19:17:55,7/19/2025 5:20:39,Link Down,********,Fiber Breakage,2nd Shrawan,"0 days, 10 hrs, 02 min","As per Laxmi ji, Link is down due to fiber breaka Bateshwore Team is working for the same. ETR: 1 hours",Fiber,0.4185648148,**********
52,mkalaiya-te-0/0/0/11:To-madarshanagar-te-0-1-0-3-LAG-BE1,,7/18/2025 20:20:10,7/18/2025 20:30:00,Traffic Congestion,********,Congestion,2nd Shrawan,"0 days, 00 hrs, 09 min",,Traffic Issue,0.006828703699,**********
53,mbaglung-te-0-0-26:To-mkusma-te-0-0-13,,7/18/2025 21:07:54,7/18/2025 21:46:00,Traffic Congestion,********,Congestion,2nd Shrawan,"0 days, 00 hrs, 38 min",,Traffic Issue,0.02645833333,**********
54,mkhalanga-sw1,FALSE,7/18/2025 21:30:54,7/18/2025 21:32:54,Switch,Far Western Region,Rebooted,2nd Shrawan,"0 days, 00 hrs, 02 min",,Power,0.001388888886,Prov6
55,mjanakpur - mdhalkebar [10G],,7/18/2025 20:22:57,7/19/2025 9:00:00,Optical Power,********,Optical Power,2nd Shrawan,"0 days, 12 hrs, 37 min"," As per Laxmi Jee, Optical power has been already maintained as much as possible.",Fiber,0.5257291667,**********
56,mkataridanda-sw1,FALSE,7/18/2025 21:48:13,7/19/2025 5:58:00,Switch,Eastern Region,Rebooted,2nd Shrawan,"0 days, 08 hrs, 09 min",,Power,0.3401273148,**********
57,mjujeneta-sw1,FALSE,7/18/2025 22:08:55,7/18/2025 22:11:33,Switch,Western Region,Rebooted,2nd Shrawan,"0 days, 00 hrs, 02 min",,Power,0.001828703709,**********
58,mranjha-sw1,FALSE,7/18/2025 23:16:00,7/18/2025 23:20:00,Switch,Far Western Region,Rebooted,2nd Shrawan,"0 days, 00 hrs, 04 min",,Power,0.002777777772,Prov5
59,mshivgunj-sw1,,7/18/2025 23:40:00,7/18/2025 23:43:00,Switch,********,Rebooted,2nd Shrawan,"0 days, 00 hrs, 03 min",,Power,0.002083333333,Prov1
60,mjamune-sw1,FALSE,7/18/2025 23:45:27,7/19/2025 3:27:38,Switch,Highway PoP,Unknown,2nd Shrawan,"0 days, 03 hrs, 42 min",,Unknown,0.1542939815,Prov4
