SN,MPLS/Switch,Full SOLAR POP,Down Time,Up Time,Type,Region,Reason/Issue,Date,Duration,Remarks(from mail if any),Category,,Down Count
13,mthulilekha-sw1,TRUE,4/14/2025 12:35:27,4/15/2025 18:07:38,Switch,Western Region,Full Solar POP,1st Baisakh,"1 days, 05 hrs, 32 min","As per Prakash jee, weather is unfavorable for solar operation to charge the battery so host got affected. Host will be reachable after favorable weather. ",Power,1.23068287,3
14,mliwang-sw1,FALSE,4/14/2025 12:48:31,4/14/2025 14:29:42,Switch,Western Region,UPS Hung/Rebooted,1st Baisakh,"0 days, 01 hrs, 41 min",,Power,0.0702662037,21
15,mdandagaun-sw1,FALSE,4/14/2025 13:50:00,4/14/2025 14:51:11,Switch,Central Region,CT Line Issue/Backup Drained,1st Baisakh,"0 days, 01 hrs, 01 min",,Power,0.04248842593,18
16,mdeuralibazaar-sw1,FALSE,4/14/2025 14:05:56,4/14/2025 15:51:57,Switch,Central Region,Unknown,1st Baisakh,"0 days, 01 hrs, 46 min",,Unknown,0.07362268519,15
17,mjwalamukhi-dls-sw1,TRUE,4/14/2025 14:19:00,4/14/2025 14:44:34,Switch,********,UPS Damage,1st Baisakh,"0 days, 00 hrs, 25 min",,Power,0.01775462963,3
18,mbasgadi-sw1,FALSE,4/14/2025 14:29:00,4/14/2025 14:43:22,Switch,Far Western Region,Routed,1st Baisakh,"0 days, 00 hrs, 14 min",,Fiber,0.009976851848,4
19,Port:0/0/44 Connected-to-pss32-damak at-mdamak-sw1,,4/14/2025 14:34:51,4/14/2025 15:47:36,Link Down,********,Fiber Breakage,1st Baisakh,"0 days, 01 hrs, 12 min",,Fiber,0.05052083333,2
20,mdamak - mduhabi [40G],,4/14/2025 14:39:16,4/14/2025 15:45:39,Link Down,********,Fiber Breakage,1st Baisakh,"0 days, 01 hrs, 06 min",,Fiber,0.04609953703,4
21,msafebager-sw1,FALSE,4/14/2025 14:41:13,4/14/2025 14:45:11,Switch,Far Western Region,Rebooted,1st Baisakh,"0 days, 00 hrs, 03 min",,Power,0.002754629633,6
22,mbuditola-sw1,FALSE,4/14/2025 14:47:43,4/14/2025 16:05:30,Switch,Far Western Region,Unknown,1st Baisakh,"0 days, 01 hrs, 17 min",,Unknown,0.05401620371,12
23,mmachhi-sw1,FALSE,4/14/2025 14:29:23,4/14/2025 15:20:15,Switch,Western Region,Rebooted,1st Baisakh,"0 days, 00 hrs, 50 min",,Power,0.03532407407,10
24,mkhimti,FALSE,4/14/2025 14:51:26,4/21/2025 8:12:19,MPLS,Central Region,Power Issue,1st Baisakh,"6 days, 17 hrs, 20 min",We have sent below listed goods to khimti. via Micro.,Power,6.722835648,1
25,mpulchowk - mtalchikhel [100G],,4/14/2025 14:52:26,4/14/2025 15:56:36,Link Down,********,Fiber Breakage,1st Baisakh,"0 days, 01 hrs, 04 min",,Fiber,0.04456018518,1
26,mjantilake-sw1,FALSE,4/14/2025 14:56:47,4/14/2025 18:19:49,Switch,Far Western Region,Rebooted,1st Baisakh,"0 days, 03 hrs, 23 min",,Power,0.1409953704,13
27,mbaluwatar-sw7,FALSE,4/14/2025 15:21:23,4/14/2025 15:25:20,Switch,********,Unknown,1st Baisakh,"0 days, 00 hrs, 03 min",,Unknown,0.002743055556,2
28,mjorpati-counter-sw1,FALSE,4/14/2025 15:25:23,4/14/2025 15:32:13,Switch,********,Rebooted,1st Baisakh,"0 days, 00 hrs, 06 min",,Power,0.004745370366,1
29,mramechhap-sw1,FALSE,4/14/2025 15:32:58,4/14/2025 16:59:02,Switch,Central Region,Unknown,1st Baisakh,"0 days, 01 hrs, 26 min",,Unknown,0.05976851852,16
30,msanothimi - mradheradhe [10G],,4/14/2025 15:33:37,4/14/2025 17:18:37,Link Down,********,Fiber Breakage,1st Baisakh,"0 days, 01 hrs, 45 min",,Fiber,0.07291666666,1
31,bu-6.mkamaladi-ncs <-> ae-5.manamnagar-LACP-[10G],,4/14/2025 15:33:13,4/14/2025 16:00:00,Traffic Congestion,********,Congestion,1st Baisakh,"0 days, 00 hrs, 26 min",,Traffic Issue,0.01859953703,1
32,kohalpur - basgadi-sw1,,4/14/2025 14:56:22,4/15/2025 2:15:00,Link Down,********,Fiber Breakage,1st Baisakh,"0 days, 11 hrs, 18 min","link is up now, we will test the link tonight.",Fiber,0.4712731481,1
33,mtinkune - mchabahil [100G],,4/14/2025 15:42:00,4/14/2025 15:55:00,Link Flap,********,Unknown,1st Baisakh,"0 days, 00 hrs, 13 min",,Unknown,0.009027777778,1
34,mramechhap-sw1,FALSE,4/14/2025 15:48:16,4/14/2025 16:59:02,Switch,Central Region,Unknown,1st Baisakh,"0 days, 01 hrs, 10 min",,Unknown,0.04914351852,16
35,mchapagaun-dls-sw1,FALSE,4/14/2025 15:59:01,4/14/2025 16:04:12,Switch,********,CT Line Issue/Backup Drained,1st Baisakh,"0 days, 00 hrs, 05 min",,Power,0.003599537042,1
36,mairport-tia-WL-sw3,,4/14/2025 16:01:15,4/14/2025 16:16:14,Switch,********,Unknown,1st Baisakh,"0 days, 00 hrs, 14 min",,Unknown,0.01040509259,26
37,mokhrabudanda-sw1,TRUE,4/14/2025 16:04:49,4/14/2025 16:07:27,Switch,Eastern Region,Unknown,1st Baisakh,"0 days, 00 hrs, 02 min",,Unknown,0.001828703702,3
38,mkurintar,FALSE,4/14/2025 16:07:49,4/14/2025 16:27:19,MPLS,Highway PoP,Rebooted,1st Baisakh,"0 days, 00 hrs, 19 min",,Power,0.01354166667,10
39,mjwalamukhi-dls-sw1,TRUE,4/14/2025 16:26:49,4/14/2025 18:50:37,Switch,********,Unknown,1st Baisakh,"0 days, 02 hrs, 23 min",,Unknown,0.09986111111,3
40,mkhalanga-sw1,FALSE,4/14/2025 16:33:52,4/14/2025 16:55:45,Switch,Far Western Region,Rebooted,1st Baisakh,"0 days, 00 hrs, 21 min",,Power,0.01519675925,26
41,mhaleshi-sw1,FALSE,4/14/2025 16:44:52,4/14/2025 17:30:27,Switch,Eastern Region,Rebooted,1st Baisakh,"0 days, 00 hrs, 45 min",,Power,0.03165509259,18
42,mkataridanda-sw1,FALSE,4/14/2025 17:45:56,4/15/2025 11:00:00,Switch,Eastern Region,Rebooted,1st Baisakh,"0 days, 17 hrs, 14 min",,Power,0.7181018519,34
43,msundarbazaar-iaas-sw1,FALSE,4/14/2025 17:58:21,4/14/2025 19:53:10,Switch,Highway PoP,Rebooted,1st Baisakh,"0 days, 01 hrs, 54 min",,Power,0.07973379629,4
44,mramechhap-sw1,FALSE,4/14/2025 18:20:35,4/14/2025 22:16:24,Switch,Central Region,Unknown,1st Baisakh,"0 days, 03 hrs, 55 min",,Unknown,0.1637615741,16
45,mliwang-sw1,FALSE,4/14/2025 18:31:01,4/14/2025 20:47:09,Switch,Western Region,Rebooted,1st Baisakh,"0 days, 02 hrs, 16 min",,Power,0.09453703704,21
46,mbuditola-sw1,FALSE,4/14/2025 18:55:30,4/15/2025 11:58:15,Switch,Far Western Region,Rebooted,1st Baisakh,"0 days, 17 hrs, 02 min",,Power,0.7102430556,12
47,mhaleshi-sw1,FALSE,4/14/2025 18:00:27,4/15/2025 4:07:00,Switch,Eastern Region,Rebooted,1st Baisakh,"0 days, 10 hrs, 06 min",,Power,0.4212152778,18
48,mjhiljhile,FALSE,4/14/2025 21:44:27,4/14/2025 21:51:32,MPLS,Eastern Region,Rebooted,1st Baisakh,"0 days, 00 hrs, 07 min",,Power,0.004918981482,3
49,nta-halesimahadev-mt,,4/14/2025 17:58:19,4/15/2025 7:19:58,Switch,********,Unknown,1st Baisakh,"0 days, 13 hrs, 21 min",,Unknown,0.5567013889,4
50,mbhorledanda-sw1,FALSE,4/14/2025 23:12:00,4/14/2025 23:12:00,Switch,Central Region,Rebooted,1st Baisakh,"0 days, 00 hrs, 00 min",,Power,0,27
1,mkohalpur,FALSE,4/15/2025 0:08:00,4/15/2025 0:27:00,MPLS,Far Western Region,Optical Power,2nd Baisakh,"0 days, 00 hrs, 19 min",,Fiber,0.01319444444,3
2,mkohalpur,FALSE,4/15/2025 0:29:00,4/15/2025 1:15:00,MPLS,Far Western Region,Optical Power,2nd Baisakh,"0 days, 00 hrs, 46 min",,Fiber,0.03194444445,3
3,mliwang-sw1,FALSE,4/15/2025 0:07:09,4/15/2025 5:22:44,Switch,Western Region,Rebooted,2nd Baisakh,"0 days, 05 hrs, 15 min",,Power,0.2191550926,21
4,mdoti-sw1,FALSE,4/15/2025 1:44:49,4/15/2025 5:08:13,Switch,Far Western Region,Unknown,2nd Baisakh,"0 days, 03 hrs, 23 min",,Unknown,0.14125,6
5,mchaukhutte-sw1,TRUE,4/15/2025 4:20:03,4/15/2025 4:22:41,Switch,Far Western Region,Unknown,2nd Baisakh,"0 days, 00 hrs, 02 min",,Unknown,0.001828703702,8
6,msitapaila-ramkot-sw1<->mekaltar,,4/15/2025 6:08:53,4/15/2025 9:16:00,Link Down,********,Fiber Breakage,2nd Baisakh,"0 days, 03 hrs, 07 min",Links are affected due to fiber brunt issue at Sitapaila. Team are working for the same.,Fiber,0.1299421296,1
7,mbhojpur,FALSE,4/15/2025 7:27:00,4/15/2025 8:00:00,MPLS,********,Fiber Issue,2nd Baisakh,"0 days, 00 hrs, 33 min",,Fiber,0.02291666667,1
8,mshreenagar-dls-sw1,,4/15/2025 7:45:00,4/16/2025 7:47:00,Switch,********,Fiber Issue,2nd Baisakh,"1 days, 00 hrs, 02 min",As per recent conversation with TM team the link will be up with in half an hour. Thank you ,Fiber,1.001388889,4
9,mmusikotbazaar,,4/15/2025 9:04:06,4/15/2025 11:39:55,MPLS,Far Western Region,Fiber Issue,2nd Baisakh,"0 days, 02 hrs, 35 min",,Fiber,0.1082060185,6
10,mchisapaninmc-sw1,FALSE,4/15/2025 9:43:01,4/15/2025 11:28:00,Switch,Far Western Region,Optical Power,2nd Baisakh,"0 days, 01 hrs, 44 min",,Fiber,0.07290509259,3
11,mliwang-sw1,FALSE,4/15/2025 9:48:19,4/15/2025 10:43:54,Switch,Western Region,Rebooted,2nd Baisakh,"0 days, 00 hrs, 55 min",,Power,0.03859953704,21
12,mpalpa,FALSE,4/15/2025 10:32:17,4/15/2025 11:52:00,MPLS,Western Region,Rebooted,2nd Baisakh,"0 days, 01 hrs, 19 min",,Power,0.05535879629,3
13,msanothimi - mtinkune[100G],,4/15/2025 10:39:00,4/15/2025 10:39:00,Link Flap,********,Link Flap,2nd Baisakh,"0 days, 00 hrs, 00 min",,Link Issue,0,1
14,mlele-sw1 - mchapagaun-dls-sw1,,4/15/2025 12:12:00,4/15/2025 12:12:00,Link Flap,********,Link Flap,2nd Baisakh,"0 days, 00 hrs, 00 min",,Link Issue,0,1
15,mchandragadi <->mbirtamode [10G],,4/15/2025 12:36:00,4/15/2025 17:36:33,Optical Power,********,Fiber Losses,2nd Baisakh,"0 days, 05 hrs, 00 min","Losses in fiber , team are checking from Birtamode side.",Fiber,0.2087152778,1
16,mbaniyani-sw1,FALSE,4/15/2025 12:17:50,4/16/2025 6:45:00,Switch,Eastern Region,Fiber Issue,2nd Baisakh,"0 days, 18 hrs, 27 min","As per Sagar ji, the staff was on leave today. Team will do the needful tomorrow ",Fiber,0.7688657407,5
17,msankrantibazaar,,4/15/2025 12:45:51,4/15/2025 13:24:00,MPLS,********,Rebooted,2nd Baisakh,"0 days, 00 hrs, 38 min",,Power,0.02649305556,13
18,mairport-domestic-sw1,FALSE,4/15/2025 13:22:04,4/15/2025 13:30:00,Switch,Central Region,Routed,2nd Baisakh,"0 days, 00 hrs, 07 min",,Fiber,0.005509259259,3
19,mbhorledanda-sw1,FALSE,4/15/2025 13:21:38,4/15/2025 14:50:07,Switch,Central Region,CT Line Issue,2nd Baisakh,"0 days, 01 hrs, 28 min",,Power,0.06144675926,27
20,mairport-tia-WL-sw3,,4/15/2025 13:26:15,4/15/2025 14:56:30,Switch,********,Losses,2nd Baisakh,"0 days, 01 hrs, 30 min","After filtering the required VLANs, losses has been minimized. Please verify with the client.",Fiber,0.06267361111,26
21,mairport-domestic-sw1-mbattisputali,,4/15/2025 13:22:04,4/15/2025 23:46:00,Link Down,********,Fiber Issue,2nd Baisakh,"0 days, 10 hrs, 23 min",We will test the link tonight and will update accordingly.,Fiber,0.433287037,1
22,mpurtighat-sw1,FALSE,4/15/2025 13:50:57,4/15/2025 17:17:42,Switch,Western Region,CT Line Issue/Backup Drained,2nd Baisakh,"0 days, 03 hrs, 26 min",There is no ct line So host got down after backup drain So host will be rachable after ct line resume.,Power,0.1435763889,9
23,mitahari - mbiratchowk [10G],,4/15/2025 13:53:30,4/15/2025 14:00:49,Link Down,********,Optical Power,2nd Baisakh,"0 days, 00 hrs, 07 min",,Fiber,0.005081018513,1
24,mbaglung,FALSE,4/15/2025 14:01:30,4/15/2025 14:11:30,MPLS,Western Region,Rebooted,2nd Baisakh,"0 days, 00 hrs, 10 min",,Power,0.006944444445,2
25,mjwalamukhi-dls-sw1,TRUE,4/15/2025 14:30:30,4/15/2025 14:30:36,Switch,********,Switch Decommissioned,2nd Baisakh,"0 days, 00 hrs, 00 min",mjwalamukhi-sw1 is operational.All clients from dls-sw1 is shifted to sw1.,Device,0.00006944444613,3
26,mkataribazaar-sw1,FALSE,4/15/2025 14:26:30,4/15/2025 14:49:05,Switch,Eastern Region,Rebooted,2nd Baisakh,"0 days, 00 hrs, 22 min",,Power,0.01568287038,11
27,mdeuralibazaar-sw1,FALSE,4/15/2025 14:07:27,4/15/2025 17:10:51,Switch,Central Region,Manual Down/Weather,2nd Baisakh,"0 days, 03 hrs, 03 min","AS per lakpa ji, The weather condition is not favourable So host was manually down by him. So,Host will be reachable after good weather.",Manual Down,0.1273611111,15
28,mbardibas - mbirgunj-nea [200G],,4/15/2025 14:40:27,4/15/2025 14:40:27,Link Flap,********,Link Flap,2nd Baisakh,"0 days, 00 hrs, 00 min",,Link Issue,0,9
29,mramechhap-sw1,FALSE,4/15/2025 14:47:42,4/15/2025 15:24:08,Switch,Central Region,Unknown,2nd Baisakh,"0 days, 00 hrs, 36 min",,Unknown,0.02530092593,16
30,mhaleshi-sw1,FALSE,4/15/2025 15:15:17,4/15/2025 18:50:53,Switch,Eastern Region,Rebooted,2nd Baisakh,"0 days, 03 hrs, 35 min",,Power,0.1497222222,18
31,mliwang-sw1,FALSE,4/15/2025 15:56:32,4/15/2025 16:57:44,Switch,Western Region,CT Line Issue,2nd Baisakh,"0 days, 01 hrs, 01 min",,Power,0.0425,21
32,mpalpa - mgalyang [10G],,4/15/2025 16:08:32,4/15/2025 17:30:18,Link Down,********,Unknown,2nd Baisakh,"0 days, 01 hrs, 21 min",Informed to GhanShyam ji to check the link.,Unknown,0.05678240741,1
33,mairport-tia-WL-sw3,,4/15/2025 16:06:30,4/15/2025 18:51:31,Switch,********,CRC Issue,2nd Baisakh,"0 days, 02 hrs, 45 min","We have also observed CRC errors at the mairport-tia-sw1 site. Physical changes are required, so we will follow up on this tomorrow after 11:00 AM.",Fiber,0.1145949074,26
34,mramechhap-sw1,FALSE,4/15/2025 16:14:08,4/15/2025 17:37:40,Switch,Central Region,Unknown,2nd Baisakh,"0 days, 01 hrs, 23 min",,Unknown,0.05800925926,16
35,bal-cdn-rtr2 <-> Akamai-Baluwatar-AS21357-[200G],,4/15/2025 14:42:30,4/15/2025 15:28:30,Traffic Drop,********,Unknown,2nd Baisakh,"0 days, 00 hrs, 46 min",,Unknown,0.03194444445,1
36,mbaluwatar-sw8,FALSE,4/15/2025 16:58:26,4/15/2025 17:14:01,Switch,********,Unknown,2nd Baisakh,"0 days, 00 hrs, 15 min",,Unknown,0.01082175926,2
37,mkataribazaar-sw1,FALSE,4/15/2025 17:09:05,4/15/2025 18:15:13,Switch,Eastern Region,Rebooted,2nd Baisakh,"0 days, 01 hrs, 06 min",Call made to Min Kr. Shrestha jee(9813950793) is still not connected so unable to verify on this. ,Power,0.04592592592,11
38,mbaluwatar-sw6,FALSE,4/15/2025 17:24:03,4/15/2025 17:28:00,Switch,********,Unknown,2nd Baisakh,"0 days, 00 hrs, 03 min",,Unknown,0.002743055556,2
39,mbelbari - mitahari [20G],,4/15/2025 18:01:42,4/15/2025 18:11:37,Link Down,********,Team Working,2nd Baisakh,"0 days, 00 hrs, 09 min",for optical power maintenance,Fiber,0.006886574076,2
40,mbardibas - mbirgunj-nea [200G],,4/15/2025 18:20:42,4/16/2025 11:55:00,Link Down,********,Fiber Breakage,2nd Baisakh,"0 days, 17 hrs, 34 min",Fiber break is measured at 4.9 km towards Bardinbas  from Lalabani pop. Link will be maintained by tomorrow ,Fiber,0.7321527778,9
41,mrupani - mrajbiraj [10G] (Pathauna-Route),,4/15/2025 18:18:52,4/15/2025 18:27:30,Link Down,********,Team Working,2nd Baisakh,"0 days, 00 hrs, 08 min","The team had worked to repair other links.  , so  link was affected ",Fiber,0.005995370368,1
42,mbardibas - mhariwan [40G],,4/15/2025 18:20:42,4/16/2025 11:25:52,Link Down,********,Fiber Breakage,2nd Baisakh,"0 days, 17 hrs, 05 min",Fiber break is measured at 4.9 km towards Bardinbas  from Lalabani pop. Link will be maintained by tomorrow ,Fiber,0.7119212963,1
43,mjantilake-sw1,FALSE,4/15/2025 17:50:12,4/15/2025 19:05:49,Switch,Far Western Region,Unknown,2nd Baisakh,"0 days, 01 hrs, 15 min",,Unknown,0.05251157407,13
44,mmidmarsyangdi-dam-sw1,FALSE,4/15/2025 18:12:00,4/15/2025 18:55:54,Switch,Highway PoP,Rebooted,2nd Baisakh,"0 days, 00 hrs, 43 min",,Power,0.03048611111,10
45,mliwang-sw1,FALSE,4/15/2025 17:37:42,4/15/2025 18:53:17,Switch,Western Region,UPS Damage,2nd Baisakh,"0 days, 01 hrs, 15 min",,Power,0.05248842592,21
46,mhariwan - mmalangwa[20G],,4/15/2025 18:48:00,4/16/2025 12:44:37,Link Down,********,Fiber Breakage,2nd Baisakh,"0 days, 17 hrs, 56 min",Informed to Digendra ji ,Fiber,0.747650463,1
47,bu-8.mchapur <-> Be-3.mmalangwa-LACP-[20G],,4/15/2025 19:17:31,4/15/2025 23:00:00,Traffic Congestion,********,Congestion,2nd Baisakh,"0 days, 03 hrs, 42 min",,Traffic Issue,0.1545023148,1
48,mjantilake-sw1,FALSE,4/15/2025 19:15:47,4/15/2025 20:57:49,Switch,Far Western Region,Rebooted,2nd Baisakh,"0 days, 01 hrs, 42 min",,Power,0.07085648148,13
49,mdulegauda,FALSE,4/15/2025 19:14:47,4/15/2025 19:24:47,MPLS,Highway PoP,Rebooted,2nd Baisakh,"0 days, 00 hrs, 10 min",,Power,0.006944444438,3
50,te-0/0/0/37.mrupani <-> te-0-0-0-37.mdhalkebar-via-pss32-rupani-01#1-14-C2-LAG-BE8,,4/15/2025 19:28:54,4/15/2025 20:00:00,Traffic Congestion,********,Congestion,2nd Baisakh,"0 days, 00 hrs, 31 min",,Traffic Issue,0.02159722222,1
51,mdulegauda,FALSE,4/15/2025 19:40:00,4/15/2025 21:07:15,MPLS,Highway PoP,Rebooted,2nd Baisakh,"0 days, 01 hrs, 27 min",,Power,0.06059027778,3
52,mairport-tia-WL-sw3,,4/15/2025 16:51:00,4/16/2025 15:53:00,CRC,********,CRC Issue,2nd Baisakh,"0 days, 23 hrs, 02 min",Acknowledged. We will follow up on it and update accordingly if there are any changes.,Fiber,0.9597222222,26
53,mdhalkebar - mhetauda [200G],,4/15/2025 20:00:00,4/15/2025 21:01:11,Link Down,********,Fiber Breakage,2nd Baisakh,"0 days, 01 hrs, 01 min",Informed to Shiva ji ,Fiber,0.04248842593,2
54,mitahari-ch - mhetauda [100G] || mhetauda - mchapur [60G],,4/15/2025 20:00:00,4/15/2025 21:03:21,Link Down,********,Fiber Breakage,2nd Baisakh,"0 days, 01 hrs, 03 min",Informed to Shiva ji ,Fiber,0.04399305555,1
55,et-3/0/5.mbal <-> hu-0-1-0-0.mdhalkebar-LAG-ae3,,4/15/2025 20:05:59,4/15/2025 21:06:00,Traffic Congestion,********,Congestion,2nd Baisakh,"0 days, 01 hrs, 00 min",,Traffic Issue,0.04167824074,1
56,mkhairenitar-sw1,FALSE,4/15/2025 20:21:22,4/16/2025 10:16:46,Switch,Western Region,Unknown,2nd Baisakh,"0 days, 13 hrs, 55 min",,Unknown,0.5801388889,1
57,mbirgunj-nea-xe-3-0-3:To-msimra-te-0-0-24-[10G],,4/15/2025 20:57:04,4/15/2025 21:47:00,Traffic Congestion,********,Congestion,2nd Baisakh,"0 days, 00 hrs, 49 min",,Traffic Issue,0.03467592593,1
58,mchapur-te-0-0-0-15:To-mnijhgadh-te-0-0-0-15-LAG-BE3-CH47-[40G],,4/15/2025 21:32:04,4/15/2025 22:27:00,Traffic Congestion,********,Congestion,2nd Baisakh,"0 days, 00 hrs, 54 min",,Traffic Issue,0.03814814815,1
59,mkataridanda-sw1,FALSE,4/15/2025 22:11:17,4/16/2025 8:36:00,Switch,Eastern Region,Rebooted,2nd Baisakh,"0 days, 10 hrs, 24 min",,Power,0.4338310185,34
60,mliwang-sw1,FALSE,4/15/2025 22:13:17,4/16/2025 5:28:53,Switch,Western Region,Rebooted,2nd Baisakh,"0 days, 07 hrs, 15 min",,Power,0.3025,21
61,nta-halesimahadev-mt,,4/15/2025 22:11:17,4/16/2025 10:53:09,Switch,********,Rebooted,2nd Baisakh,"0 days, 12 hrs, 41 min",,Power,0.5290740741,4
62,mdandagaun-sw1,FALSE,4/15/2025 23:14:38,4/15/2025 23:44:00,Switch,Central Region,Rebooted,2nd Baisakh,"0 days, 00 hrs, 29 min",,Power,0.02039351852,18
63,mbhimad-sw1,FALSE,4/15/2025 20:21:22,4/16/2025 10:16:46,Switch,Western Region,Unknown,2nd Baisakh,"0 days, 13 hrs, 55 min",,Unknown,0.5801388889,1
1,mbuditola-sw1,FALSE,4/16/2025 0:03:36,4/16/2025 0:17:00,Switch,Far Western Region,Routed,3rd Baisakh,"0 days, 00 hrs, 13 min",,Fiber,0.009305555555,12
2,mdhangadi-dls-sw1-mbuditola-sw1,,4/16/2025 0:03:36,4/18/2025 20:34:00,Link Down,********,Wireless Issue,3rd Baisakh,"2 days, 20 hrs, 30 min",We are monitoring the link for now. We will update you accordingly.,Wireless,2.854444444,2
3,msafebager-sw1,FALSE,4/16/2025 1:16:19,4/16/2025 2:21:58,Switch,Far Western Region,Rebooted,3rd Baisakh,"0 days, 01 hrs, 05 min",,Power,0.04559027778,6
4,mbharatpur-nea - mgaidakot [10G],,4/16/2025 1:27:00,4/16/2025 13:09:00,Link Down,********,Fiber Breakage,3rd Baisakh,"0 days, 11 hrs, 42 min",,Fiber,0.4875,1
5,mbuditola-sw1,FALSE,4/16/2025 2:25:29,4/16/2025 9:45:00,Switch,Far Western Region,UPS Hung/Rebooted,3rd Baisakh,"0 days, 07 hrs, 19 min",,Power,0.3052199074,12
6,mbhorledanda-sw1,FALSE,4/16/2025 5:43:48,4/16/2025 8:01:00,Switch,Central Region,Rebooted,3rd Baisakh,"0 days, 02 hrs, 17 min",,Power,0.09527777778,27
7,msankrantibazaar,,4/16/2025 5:53:00,4/16/2025 9:10:36,MPLS,********,Rebooted,3rd Baisakh,"0 days, 03 hrs, 17 min",,Power,0.1372222222,13
8,mjumlabazaar-sw1,TRUE,4/16/2025 6:03:02,4/16/2025 7:15:13,Switch,Far Western Region,Unknown,3rd Baisakh,"0 days, 01 hrs, 12 min",,Unknown,0.05012731482,15
9,mbaglung,FALSE,4/16/2025 7:17:00,4/16/2025 7:49:50,MPLS,Western Region,Rebooted,3rd Baisakh,"0 days, 00 hrs, 32 min",,Power,0.02280092592,2
10,mdhalkebar <->mitahari [200G] || mdhalkebar<->mrupani [60G],,4/16/2025 7:36:02,4/16/2025 10:39:00,Link Down,********,Fiber Burnt,3rd Baisakh,"0 days, 03 hrs, 02 min",,Fiber,0.1270601852,1
11,mhetauda <->mitahari-ch [100G],,4/16/2025 7:36:02,4/16/2025 10:39:00,Link Down,********,Fiber Burnt,3rd Baisakh,"0 days, 03 hrs, 02 min",,Fiber,0.1270601852,1
12,mlahan <->mdhalkebar [100G],,4/16/2025 7:37:50,4/16/2025 10:39:00,Link Down,********,Fiber Burnt,3rd Baisakh,"0 days, 03 hrs, 01 min",,Fiber,0.1258101852,1
