SN,MPLS/Switch,Full SOLAR POP,Down Time,Up Time,Type,Region,Reason/Issue,Date,Duration,Remarks(from mail if any),Category,,Down Count
38,mgauradha-sw1,FALSE,5/15/2025 16:50:36,5/15/2025 17:22:46,Switch,Eastern Region,Rebooted,1st Jestha,"0 days, 00 hrs, 32 min",Link is up now after upgrade new firmware we are monitoring the link.,Power,0.02233796297,3
39,msardi-sw1,FALSE,5/15/2025 17:20:36,5/15/2025 17:23:52,Switch,Western Region,Rebooted,1st Jestha,"0 days, 00 hrs, 03 min",,Power,0.002268518518,81
40,mbaitadibazaar,FALSE,5/15/2025 17:25:59,5/15/2025 17:42:57,MPLS,********,Rebooted,1st Jestha,"0 days, 00 hrs, 16 min",,Power,0.0117824074,29
41,mtulsipur-dls-sw1,FALSE,5/15/2025 17:43:52,5/15/2025 17:55:23,Switch,Far Western Region,Rebooted,1st Jestha,"0 days, 00 hrs, 11 min",,Power,0.007997685185,3
42,mfaparbari-sw1,FALSE,5/15/2025 17:38:11,5/15/2025 21:40:22,Switch,Central Region,Rebooted,1st Jestha,"0 days, 04 hrs, 02 min",,Power,0.1681828704,28
43,mbaitadibazaar,FALSE,5/15/2025 17:52:57,5/15/2025 18:07:57,MPLS,********,Rebooted,1st Jestha,"0 days, 00 hrs, 15 min",,Power,0.01041666667,29
44,mdailekh-sw1,FALSE,5/15/2025 18:09:36,5/15/2025 19:13:49,Switch,Far Western Region,Rebooted,1st Jestha,"0 days, 01 hrs, 04 min",,Power,0.04459490741,4
45,mkawaswoti - mgaidakot [10G],,5/15/2025 18:20:27,5/16/2025 14:20:27,Link Down,********,Fiber Breakage,1st Jestha,"0 days, 20 hrs, 00 min","As per Harihar Jee, Fiber Breakages is measured at the distance of  4.630 km form gaidakot pop. ",Fiber,0.8333333333,2
46,mchainpur,,5/15/2025 18:34:37,5/15/2025 20:38:03,MPLS,********,Rebooted,1st Jestha,"0 days, 02 hrs, 03 min",,Power,0.08571759259,13
47,mtaplejung || mtaplejung - msankrantibazaar,,5/15/2025 18:40:37,5/15/2025 18:45:00,Losses/Latency,********,Unknown,1st Jestha,"0 days, 00 hrs, 04 min",,Unknown,0.00304398148,1
48,GMR-Nepal-Himal-Hydropower-Kupondole-Height-Lalitpur-Bharti-E1 - mpulchowk-dls-sw2,,5/15/2025 18:33:37,5/15/2025 18:54:00,Link Down,********,Unknown,1st Jestha,"0 days, 00 hrs, 20 min",,Unknown,0.01415509259,4
49,mkhalanga-sw1,FALSE,5/15/2025 18:34:57,5/15/2025 20:06:22,Switch,Far Western Region,Rebooted,1st Jestha,"0 days, 01 hrs, 31 min",,Power,0.0634837963,57
50,mmidmarsyangdi-dam-sw1,FALSE,5/15/2025 18:41:27,5/15/2025 19:06:26,Switch,Highway PoP,Rebooted,1st Jestha,"0 days, 00 hrs, 24 min",,Power,0.01734953704,13
51,mdandagaun-sw1,FALSE,5/15/2025 18:33:42,5/15/2025 19:29:43,Switch,Central Region,Rebooted,1st Jestha,"0 days, 00 hrs, 56 min",,Power,0.03890046296,16
52,mdaphelake-sw1,TRUE,5/15/2025 18:48:19,5/16/2025 7:33:30,Switch,Far Western Region,Battery Issue,1st Jestha,"0 days, 12 hrs, 45 min",Battery is not available at store. We will proceed it once available at store ,Power,0.5313773148,36
53,mpurtighat-sw1,FALSE,5/15/2025 18:33:16,5/15/2025 20:54:27,Switch,Western Region,Unknown,1st Jestha,"0 days, 02 hrs, 21 min",,Unknown,0.09804398148,6
54,mhetauda-warehouse-sw1,FALSE,5/15/2025 18:39:09,5/15/2025 21:14:45,Switch,Central Region,Rebooted,1st Jestha,"0 days, 02 hrs, 35 min",,Power,0.1080555556,25
55,msirdibas-sw1,TRUE,5/15/2025 18:26:49,5/16/2025 7:48:59,Switch,Gorkha NTA,Full Solar POP,1st Jestha,"0 days, 13 hrs, 22 min",,Power,0.5570601852,33
56,mliwang-sw1,FALSE,5/15/2025 18:40:15,5/15/2025 20:25:50,Switch,Western Region,Unknown,1st Jestha,"0 days, 01 hrs, 45 min",,Unknown,0.07332175926,6
57,mkhawadanda-sw1,FALSE,5/15/2025 18:33:27,5/15/2025 19:58:26,Switch,Central Region,Rebooted,1st Jestha,"0 days, 01 hrs, 24 min",,Power,0.0590162037,27
58,mtadi,FALSE,5/15/2025 19:13:27,5/15/2025 19:24:24,MPLS,********,CT Line Issue/Backup Drained,1st Jestha,"0 days, 00 hrs, 10 min",,Power,0.007604166669,8
59,mdamak-sw1-eth-0-0-44:To-Connected-to-pss8-damak,,5/15/2025 15:47:08,5/15/2025 20:20:00,Link Down,********,Unknown,1st Jestha,"0 days, 04 hrs, 32 min",,Unknown,0.1894907407,1
60,mjanakpur <-> mjaleshwore [10G],,5/15/2025 17:01:52,5/15/2025 17:01:52,Optical Power,********,Optical Power,1st Jestha,"0 days, 00 hrs, 00 min",As per Team link is working since long time at Threshold ,Fiber,0,2
61,mamarsingh-dls-sw1,FALSE,5/15/2025 19:30:27,5/15/2025 20:58:07,Switch,Western Region,Rebooted,1st Jestha,"0 days, 01 hrs, 27 min",,Power,0.06087962963,5
62,mbiratchowk,FALSE,5/15/2025 19:31:27,5/15/2025 20:16:26,MPLS,Eastern Region,Rebooted,1st Jestha,"0 days, 00 hrs, 44 min",,Power,0.03123842592,15
63,msukedhara-sw1,FALSE,5/15/2025 19:31:36,5/15/2025 19:31:36,Switch,Central Region,Rebooted,1st Jestha,"0 days, 00 hrs, 00 min",,Power,0,3
64,mmugling-sw1,FALSE,5/15/2025 19:53:36,5/15/2025 21:09:40,Switch,Highway PoP,Rebooted,1st Jestha,"0 days, 01 hrs, 16 min",,Power,0.05282407408,7
65,mbhorledanda-sw1,FALSE,5/15/2025 19:06:42,5/15/2025 21:28:53,Switch,Central Region,Rebooted,1st Jestha,"0 days, 02 hrs, 22 min",,Power,0.09873842593,10
66,msiddharthaview-sw1,,5/15/2025 20:00:29,5/15/2025 21:32:39,Switch,Far Western Region,Rebooted,1st Jestha,"0 days, 01 hrs, 32 min",,Power,0.06400462963,8
67,msukedhara-sw1,FALSE,5/15/2025 20:12:00,5/15/2025 20:42:06,Switch,Central Region,Rebooted,1st Jestha,"0 days, 00 hrs, 30 min",,Power,0.02090277777,3
68,mdulegauda,FALSE,5/15/2025 20:23:00,5/15/2025 21:36:14,MPLS,Highway PoP,Rebooted,1st Jestha,"0 days, 01 hrs, 13 min",,Power,0.05085648148,9
69,mtadi,FALSE,5/15/2025 20:24:00,5/15/2025 21:07:31,MPLS,********,CT Line Issue,1st Jestha,"0 days, 00 hrs, 43 min",,Power,0.03021990741,8
70,mbhaisepati,FALSE,5/15/2025 20:29:52,5/15/2025 20:46:07,MPLS,********,Rebooted,1st Jestha,"0 days, 00 hrs, 16 min",,Power,0.01128472223,1
71,mshivachowk-sw1,,5/15/2025 20:31:24,5/15/2025 20:53:35,Switch,********,Rebooted,1st Jestha,"0 days, 00 hrs, 22 min",,Power,0.01540509259,2
72,mshivachowk-sw1,,5/15/2025 21:43:35,5/15/2025 22:15:00,Switch,********,Rebooted,1st Jestha,"0 days, 00 hrs, 31 min",,Power,0.02181712963,2
73,mtadi-dls-sw1 - mpadampur-sw1[10G],,5/15/2025 21:14:54,5/16/2025 9:14:00,Link Down,********,Unknown,1st Jestha,"0 days, 11 hrs, 59 min",,Unknown,0.499375,1
74,mkhairenitar-sw1,FALSE,5/15/2025 22:13:00,5/16/2025 9:15:11,Switch,Western Region,Rebooted,1st Jestha,"0 days, 11 hrs, 02 min",,Power,0.459849537,3
75,mtalchowk-sw1,FALSE,5/15/2025 22:16:00,5/15/2025 22:51:00,Switch,Western Region,Rebooted,1st Jestha,"0 days, 00 hrs, 35 min",,Power,0.02430555555,2
76,mranjha-sw1,FALSE,5/15/2025 21:32:00,5/15/2025 22:18:00,Switch,Far Western Region,Rebooted,1st Jestha,"0 days, 00 hrs, 46 min",,Power,0.03194444445,11
77,msahidnagar-sw1,,5/15/2025 21:06:44,5/16/2025 6:07:56,Switch,********,Rebooted,1st Jestha,"0 days, 09 hrs, 01 min",,Power,0.3758333333,3
78,mpipaldanda-sw1,FALSE,5/15/2025 22:14:29,5/16/2025 0:32:00,Switch,Eastern Region,Unknown,1st Jestha,"0 days, 02 hrs, 17 min",,Unknown,0.09549768519,1
79,mhetauda-warehouse-sw1,FALSE,5/15/2025 22:46:04,5/15/2025 23:01:39,Switch,Central Region,Rebooted,1st Jestha,"0 days, 00 hrs, 15 min",,Power,0.01082175926,25
80,mchainpur-sw1,FALSE,5/15/2025 23:02:00,5/16/2025 4:44:48,Switch,Eastern Region,Rebooted,1st Jestha,"0 days, 05 hrs, 42 min",,Power,0.2380555556,1
81,mmugling-sw1,FALSE,5/15/2025 23:08:00,5/15/2025 23:18:00,Switch,Highway PoP,Rebooted,1st Jestha,"0 days, 00 hrs, 10 min",,Power,0.006944444445,7
82,mkataridanda-sw1,FALSE,5/15/2025 23:10:44,5/16/2025 7:01:45,Switch,Eastern Region,Rebooted,1st Jestha,"0 days, 07 hrs, 51 min",,Power,0.3270949074,33
83,mchainpur,,5/15/2025 23:37:06,5/15/2025 23:46:24,MPLS,********,Rebooted,1st Jestha,"0 days, 00 hrs, 09 min",,Power,0.00645833333,13
84,msiddharthaview-sw1,,5/15/2025 23:52:39,5/16/2025 0:07:00,Switch,Far Western Region,Rebooted,1st Jestha,"0 days, 00 hrs, 14 min",,Power,0.009965277779,8
85,mkhalanga-sw1,FALSE,5/15/2025 10:58:50,5/15/2025 11:41:00,Switch,Far Western Region,Rebooted,1st Jestha,"0 days, 00 hrs, 42 min",,Power,0.02928240741,57
86,mkhalanga-sw1,FALSE,5/15/2025 8:07:10,5/15/2025 8:27:10,Switch,Far Western Region,Rebooted,1st Jestha,"0 days, 00 hrs, 20 min",,Power,0.01388888889,57
1,mbauniya-sw1,FALSE,5/16/2025 0:19:22,5/16/2025 0:21:41,Switch,Far Western Region,Rebooted,2nd Jestha,"0 days, 00 hrs, 02 min",,Power,0.001608796294,1
2,mchainpur,,5/16/2025 0:50:00,5/16/2025 1:01:00,MPLS,********,Rebooted,2nd Jestha,"0 days, 00 hrs, 00 min",,Power,,13
3,mdhikure-sw1,FALSE,5/16/2025 0:50:41,5/16/2025 1:22:53,Switch,Highway PoP,Rebooted,2nd Jestha,"0 days, 00 hrs, 32 min",,Power,0.02236111111,2
4,mdandagaun-sw1,FALSE,5/16/2025 1:09:43,5/16/2025 1:38:00,Switch,Central Region,Rebooted,2nd Jestha,"0 days, 00 hrs, 28 min",,Power,0.0196412037,16
5,mfaparbari-sw1,FALSE,5/16/2025 1:40:22,5/16/2025 8:12:33,Switch,Central Region,Rebooted,2nd Jestha,"0 days, 06 hrs, 32 min",,Power,0.272349537,28
6,mdulegauda,FALSE,5/16/2025 2:06:00,5/16/2025 8:20:57,MPLS,Highway PoP,CT Line Issue,2nd Jestha,"0 days, 06 hrs, 14 min","As per Ugal ji, there is no CT-line since this morning, and the generator was continuously operating after 8 am. So due to continuous operation, the generator has automatically shut down and is not starting now. So the host will be accessible once the CT-line is resumed.",Power,0.2603819444,9
7,msauraha-sw1,FALSE,5/16/2025 2:09:00,5/16/2025 8:49:41,Switch,Central Region,Unknown,,"0 days, 06 hrs, 40 min",,Unknown,0.2782523148,1
8,mbhorledanda-sw1,FALSE,5/16/2025 2:08:53,5/16/2025 2:18:11,Switch,Central Region,Rebooted,2nd Jestha,"0 days, 00 hrs, 09 min",,Power,0.006458333337,10
9,mtaulihawa,FALSE,5/16/2025 2:39:00,5/16/2025 7:35:00,MPLS,********,CT Line Issue/Backup Drained,2nd Jestha,"0 days, 04 hrs, 56 min",,Power,0.2055555555,2
10,mdeuralibazaar-sw1,FALSE,5/16/2025 2:45:42,5/16/2025 5:03:32,Switch,Central Region,Rebooted,2nd Jestha,"0 days, 02 hrs, 17 min",,Power,0.09571759259,12
11,mchabahil - mtinkune [100G],,5/16/2025 3:07:00,5/16/2025 6:14:00,Link Down,********,Unknown,2nd Jestha,"0 days, 03 hrs, 07 min",,Unknown,0.1298611111,3
12,mramechhap-sw1,FALSE,5/16/2025 2:59:58,5/16/2025 20:06:00,Switch,Central Region,Rebooted,2nd Jestha,"0 days, 17 hrs, 06 min",The switch has been configured and handed over to the store.,Power,0.7125231481,4
13,mkalikot-sw1,FALSE,5/16/2025 3:21:39,5/16/2025 7:37:20,Switch,Far Western Region,Rebooted,2nd Jestha,"0 days, 04 hrs, 15 min",,Power,0.1775578704,7
14,msukhadev - mchapur [40G],,5/16/2025 3:18:00,5/16/2025 11:42:00,Link Down,********,Fiber Breakage,2nd Jestha,"0 days, 08 hrs, 24 min",,Fiber,0.35,2
15,mchainpur,,5/16/2025 4:23:00,5/16/2025 4:44:48,MPLS,********,Rebooted,2nd Jestha,"0 days, 00 hrs, 21 min",,Power,0.01513888889,13
16,msardi-sw1,FALSE,5/16/2025 4:46:00,5/16/2025 17:23:52,Switch,Western Region,Rebooted,2nd Jestha,"0 days, 12 hrs, 37 min",,Power,0.5262962963,81
17,mshivapur,FALSE,5/16/2025 4:49:00,5/16/2025 5:25:00,MPLS,Far Western Region,Rebooted,2nd Jestha,"0 days, 00 hrs, 36 min",,Power,0.025,1
18,mghorahi,FALSE,5/16/2025 4:49:00,5/16/2025 5:13:00,MPLS,Far Western Region,Unknown,2nd Jestha,"0 days, 00 hrs, 24 min",,Unknown,0.01666666667,11
19,mkohalpur,FALSE,5/16/2025 4:49:00,5/16/2025 5:13:00,MPLS,Far Western Region,Losses,2nd Jestha,"0 days, 00 hrs, 24 min",,Fiber,0.01666666667,2
20,mkohalpur,FALSE,5/16/2025 5:25:00,5/16/2025 6:42:00,MPLS,Far Western Region,Losses,2nd Jestha,"0 days, 01 hrs, 17 min",,Fiber,0.05347222222,2
21,mchanauli-sw1,FALSE,5/16/2025 5:35:21,5/16/2025 5:58:00,Switch,Central Region,Rebooted,2nd Jestha,"0 days, 00 hrs, 22 min",,Power,0.01572916667,6
22,mbiratchowk,FALSE,5/16/2025 5:56:00,5/16/2025 11:02:00,MPLS,Eastern Region,Rebooted,2nd Jestha,"0 days, 05 hrs, 06 min",,Power,0.2125,15
23,mrajbiraj - mrupani[10G Pathauna-Route],,5/16/2025 8:07:00,5/16/2025 8:35:00,Link Down,********,Fiber Breakage,2nd Jestha,"0 days, 00 hrs, 28 min",,Fiber,0.01944444445,1
24,mlahan - mrajbiraj,,5/16/2025 8:07:00,5/16/2025 8:33:00,Link Down,********,Fiber Breakage,2nd Jestha,"0 days, 00 hrs, 26 min",,Fiber,0.01805555556,1
25,mrangeli-dls-sw1,FALSE,5/16/2025 8:33:51,5/16/2025 8:49:26,Switch,Eastern Region,Rebooted,2nd Jestha,"0 days, 00 hrs, 15 min",,Power,0.01082175926,2
26,mbal - mranibari [10G] || mbal-mgongabu [10G],,5/16/2025 5:53:00,5/16/2025 15:26:52,Link Down,********,Fiber Breakage,2nd Jestha,"0 days, 09 hrs, 33 min","Please , make a note that : We do not have fiber in stock at store , once  fiber gets manage they  we  will proceed the task ahead . ",Fiber,0.3985185185,1
27,mtaplejung-sw2,FALSE,5/16/2025 10:11:00,5/16/2025 10:28:00,Losses/Latency,Eastern Region,Losses,2nd Jestha,"0 days, 00 hrs, 17 min",,Fiber,0.01180555556,1
28,mkarsiya-sw1,FALSE,5/16/2025 8:31:00,5/16/2025 8:50:00,Switch,Eastern Region,Routed,2nd Jestha,"0 days, 00 hrs, 19 min",,Fiber,0.01319444444,3
29,mkarsiya-sw1 -mbrt-neuro-sw1,,5/16/2025 8:31:00,5/17/2025 2:42:25,Link Down,********,Fiber Breakage,2nd Jestha,"0 days, 18 hrs, 11 min",,Fiber,0.7579282407,1
30,mmurtidanda-sw1,FALSE,5/16/2025 5:30:52,5/16/2025 9:50:52,Switch,Eastern Region,Manual Down,2nd Jestha,"0 days, 04 hrs, 20 min",,Maintainance,0.1805555556,5
31,mbirgunj-nea - Airtel-Raxaul-Sagauli-Adarsanagar-ADSS,,5/16/2025 11:00:00,5/20/2025 9:54:00,Optical Power,********,Patch cord issue,2nd Jestha,"3 days, 22 hrs, 54 min",Link has been maintained now after replacing Patcord at Birgunj-Nea pop ,Fiber,3.954166667,1
32,mkhalanga-sw1,FALSE,5/16/2025 10:29:00,5/16/2025 13:40:00,Switch,Far Western Region,Rebooted,2nd Jestha,"0 days, 03 hrs, 11 min",,Power,0.1326388889,57
33,mswitchatar - mnaikap-sw1,,5/16/2025 10:50:00,5/16/2025 18:43:00,Link Down,********,Fiber Breakage,2nd Jestha,"0 days, 07 hrs, 53 min", It's Acknowledged and currently all team are engaged on multiple breakages. We will update on it once the team gets managed.,Fiber,0.3284722222,1
34,mchainpur,,5/16/2025 11:08:00,5/16/2025 11:50:00,MPLS,********,Rebooted,2nd Jestha,"0 days, 00 hrs, 42 min",,Power,0.02916666667,13
35,mdulegauda-sw1,FALSE,5/16/2025 11:13:57,5/16/2025 14:16:57,Switch,Western Region,CT Line Issue/Backup Drained,2nd Jestha,"0 days, 03 hrs, 03 min",,Power,0.1270833333,1
36,mdulegauda,FALSE,5/16/2025 11:55:00,5/16/2025 14:14:09,MPLS,Highway PoP,CT Line Issue/Backup Drained,2nd Jestha,"0 days, 02 hrs, 19 min", We have informed to Anmol ji to look into the matter and update accordingly. ,Power,0.09663194444,9
37,mtinkune - msanothimi [100G],,5/16/2025 12:59:00,5/16/2025 12:59:00,Link Flap,********,Link Flap,2nd Jestha,"0 days, 00 hrs, 00 min",,Link Issue,0,3
38,mbhorledanda-sw1,FALSE,5/16/2025 12:58:12,5/16/2025 13:40:22,Switch,Central Region,Rebooted,2nd Jestha,"0 days, 00 hrs, 42 min",,Power,0.02928240741,10
39,mkhimti - mdhalkebar[20G],,5/16/2025 13:27:00,5/26/2025 15:12:00,CRC,********,CRC Issue,2nd Jestha,"10 days, 01 hrs, 45 min","As per Umesh Ji, goods are received. Team will do the needful tomorrow.",Fiber,10.07291667,2
40,msardi-sw1,FALSE,5/16/2025 13:22:00,5/16/2025 13:33:57,Switch,Western Region,Rebooted,2nd Jestha,"0 days, 00 hrs, 11 min",,Power,0.008298611116,81
41,mjyamrung-sw1,FALSE,5/16/2025 13:27:07,5/16/2025 13:59:17,Switch,Dhading NTA,Unknown,2nd Jestha,"0 days, 00 hrs, 32 min",,Unknown,0.02233796297,2
42,Down ae-3.itahari-bng <-> LACP-[60G]-with-GGC-ITH-ncs5001-rtr-SUBISU,,5/16/2025 12:00:00,5/16/2025 16:30:00,Traffic Drop,********,Unknown,2nd Jestha,"0 days, 04 hrs, 30 min",,Unknown,0.1875,1
